Text Length     Pattern Length  Naive Search Time (ms)   Rabin-Karp Time (ms)
1000000         5               0.0                       0.20673274993896484      
5000000         5               0.4981040954589844        0.0
1000000         10              69.77112293243408         48.256611824035645       
5000000         10              199.0140676498413         51.5042781829834
1000000         20              234.92329120635986        36.18636131286621        
5000000         20              949.9693632125854         246.72837257385254       
1000000         50              219.71125602722168        38.02487850189209        
5000000         50              1121.1829900741577        224.12827014923096       
1000000         100             130.06658554077148        46.24142646789551        
5000000         100             1164.3502712249756        290.78049659729004       
1000000         250             273.8816261291504         37.18128204345703        
5000000         250             1389.8430347442627        130.9541940689087        
1000000         500             202.11443901062012        139.84980583190918       
5000000         500             1063.6194705963135        355.2915573120117        
1000000         1000            222.78985977172852        258.55042934417725       
5000000         1000            898.6821889877319         396.80497646331787 



Text Length     Pattern Length  Rabin-Karp Time (ms)      Naive Search Time (ms)
1000000         10              71.05302810668945         34.908199310302734       
2500000         10              139.48626518249512        65.87064266204834        
5000000         10              106.30612373352051        57.56981372833252        
1000000         20              208.89708995819092        51.068854331970215       
2500000         20              519.6056127548218         131.03938102722168       
5000000         20              801.1648416519165         210.74838638305664       
1000000         50              184.79490280151367        45.01020908355713        
2500000         50              357.8047513961792         64.38195705413818        
5000000         50              925.163197517395          208.75282287597656       
1000000         100             193.4767484664917         44.49634552001953        
2500000         100             266.8581485748291         68.60189437866211        
5000000         100             997.431468963623          189.64464664459229       
1000000         250             162.94381618499756        26.816797256469727       
2500000         250             543.7373876571655         109.12630558013916       
5000000         250             944.2512273788452         152.394700050354
1000000         500             242.08426475524902        196.6578483581543        
2500000         500             433.5677146911621         286.15753650665283       
5000000         500             844.176983833313          481.4058303833008        
1000000         1000            243.71204376220703        247.30727672576904       
2500000         1000            516.1868095397949         195.32945156097412       
5000000         1000            1317.4334049224854        417.6394462585449        
1000000         10000           237.63983249664307        158.26287269592285       
2500000         10000           484.772253036499          329.1821479797363        
5000000         10000           893.8636302947998         739.9677038192749       


Text Length     Pattern Length  Rabin-Karp Time (ms)      Naive Search Time (ms)   
1000000         100             84.20543670654297         35.306644439697266       
2500000         100             316.1048650741577         137.3422145843506        
5000000         100             492.0815706253052         264.2157554626465        
1000000         250             137.4274492263794         43.277549743652344       
2500000         250             317.5539970397949         126.74334049224854       
5000000         250             662.3269081115723         130.5255889892578        
1000000         500             104.66139316558838        256.60245418548584       
2500000         500             286.7787837982178         296.84250354766846       
5000000         500             480.97262382507324        465.7416343688965        
1000000         1000            129.37419414520264        128.11214923858643       
2500000         1000            314.5362854003906         277.9710054397583        
5000000         1000            346.636962890625          407.2415351867676        
1000000         10000           132.9634666442871         160.56292057037354       
2500000         10000           280.0917625427246         188.1117820739746


Text Length     Pattern Length  Rabin-Karp Time (ms)      Naive Search Time (ms)   
1000            5               0.0                       0.0
5000            5               0.0                       0.0
100000          5               1.6529560089111328        0.1008749008178711       
500000          5               5.502486228942871         0.09987354278564453      
1000000         5               10.602068901062012        0.0
2500000         5               15.24038314819336         0.0
5000000         5               30.919456481933594        0.09891986846923828      
1000            10              0.0                       0.0
5000            10              0.0                       0.10073184967041016      
100000          10              0.10008811950683594       4.9160003662109375       
500000          10              2.9152631759643555        13.056468963623047       
1000000         10              9.270906448364258         20.46372890472412        
2500000         10              13.046002388000488        58.245062828063965       
5000000         10              33.42750072479248         70.19577026367188        
1000            25              0.0                       0.0
5000            25              0.0                       0.20000934600830078      
100000          25              0.0997304916381836        3.134632110595703        
500000          25              3.7927865982055664        20.89672088623047        
1000000         25              4.835748672485352         44.617533683776855       
2500000         25              17.068076133728027        128.40898036956787       
5000000         25              32.001471519470215        196.3719129562378        
1000            50              0.0                       0.0
5000            50              0.0                       0.20968914031982422      
100000          50              0.24356842041015625       2.0739316940307617       
500000          50              3.1636953353881836        10.35149097442627        
1000000         50              7.874512672424316         35.48097610473633        
2500000         50              12.001204490661621        115.11061191558838       
5000000         50              33.92672538757324         182.0016384124756        
1000            100             0.0                       0.0
5000            100             0.0                       0.3988981246948242       
100000          100             1.4006376266479492        3.8178205490112305       
500000          100             5.509209632873535         16.53294563293457        
1000000         100             11.327672004699707        39.67792987823486        
2500000         100             14.916586875915527        69.29442882537842        
5000000         100             32.10804462432861         231.66987895965576       
1000            250             0.0                       0.0
5000            250             0.09987354278564453       0.0
100000          250             0.10876655578613281       3.7023544311523438       
500000          250             1.5710115432739258        11.073589324951172       
1000000         250             7.2727203369140625        43.161725997924805       
2500000         250             16.431117057800293        99.66685771942139        
5000000         250             34.50279235839844         239.8827314376831        
1000            500             0.0                       0.0
5000            500             0.0                       0.5564212799072266       
100000          500             0.1047372817993164        10.588288307189941       
500000          500             5.566668510437012         64.1963005065918
1000000         500             7.715845108032227         117.8673505783081        
2500000         500             16.504216194152832        218.6157464981079        
5000000         500             33.15885066986084         424.79939460754395       
1000            1000            2.0983457565307617        0.0
5000            1000            0.09968280792236328       0.3014087677001953       
100000          1000            1.341700553894043         9.980440139770508        
500000          1000            2.3226499557495117        44.39864158630371        
1000000         1000            9.78689193725586          65.62519073486328        
2500000         1000            17.36428737640381         251.2221097946167        
5000000         1000            34.59734916687012         407.3773145675659  

Text Length     Pattern Length  Rabin-Karp Time (ms)      Naive Search Time (ms)   
1000            5               0.19936561584472656       0.2073526382446289       
5000            5               0.09996891021728516       0.09908676147460938      
100000          5               0.7015705108642578        0.20020008087158203      
500000          5               3.301858901977539         0.09996891021728516      
1000000         5               7.425117492675781         0.1001119613647461       
2500000         5               16.022086143493652        0.3005027770996094       
